
Câu gốc,Câu chuẩn hóa
"ae mình tình nghĩa nặng sâu","anh em mình tình nghĩa nặng sâu"
"típ tục duy trì nếp sống văn minh","tiếp tục duy trì nếp sống văn minh"
"nx đi tôi vẫn đang lắng nghe bác","nữa đi tôi vẫn đang lắng nghe bác"
"th chuyện đã qua hãy để nó qua","thôi chuyện đã qua hãy để nó qua"
"thui đừng chấp nhặt trẻ con làm gì","thôi đừng chấp nhặt trẻ con làm gì"
"thoi mình cứ dĩ hòa vi quý cho xong","thôi mình cứ dĩ hòa vi quý cho xong"
"thoai tôi đi nghỉ đây mệt quá rồi","thôi tôi đi nghỉ đây mệt quá rồi"
"ce phụ nữ mình giỏi việc nước đảm việc nhà","chị em phụ nữ mình giỏi việc nước đảm việc nhà"
"e xin phép bác cho cháu nhà tôi về","em xin phép bác cho cháu nhà tôi về"
"ace trong họ tộc nên đùm bọc nhau","anh chị em trong họ tộc nên đùm bọc nhau"
"onl thì xem ảnh tôi chụp vườn lan","trực tuyến thì xem ảnh tôi chụp vườn lan"
"đag chuẩn bị mâm cơm cúng tổ tiên","đang chuẩn bị mâm cơm cúng tổ tiên"
"đg tính chuyện đầu tư cho cháu học","đang tính chuyện đầu tư cho cháu học"
"dg làm vườn mà mồ hôi nhễ nhại","đang làm vườn mà mồ hôi nhễ nhại"
"ms sáng sớm mà đã nghe tiếng chim hót","mới sáng sớm mà đã nghe tiếng chim hót"
"cx muốn đi chơi nhưng chân đau quá","cũng muốn đi chơi nhưng chân đau quá"
"cũg tại tôi chủ quan nên mất trộm","cũng tại tôi chủ quan nên mất trộm"
"lói năng phải có đầu có đuôi bác nhé","nói năng phải có đầu có đuôi bác nhé"
"ns thật với bác là tôi hết tiền rồi","nói thật với bác là tôi hết tiền rồi"
"said lời xin lỗi với người già ko khó","nói lời xin lỗi với người già không khó"
"unf những trang tin giả mạo đi anh","hủy kết bạn những trang tin giả mạo đi anh"
"FB của hội mình dạo này trầm quá","Facebook của hội mình dạo này trầm quá"
"ig là cái gì tôi chả biết dùng","Instagram là cái gì tôi chả biết dùng"
"tt dạo này nhiều người livestream bán hàng","Tiktok dạo này nhiều người livestream bán hàng"
"xl là kênh liên lạc chính của tôi","Zalo là kênh liên lạc chính của tôi"
"dép lào tôi dùng để gọi cho con cái","Zalo tôi dùng để gọi cho con cái"
"mess của tôi bị lỗi ko nhận được ảnh cháu","Messenger của tôi bị lỗi không nhận được ảnh cháu"
"fl trang này để xem dự báo thời tiết nha","theo dõi trang này để xem dự báo thời tiết nha"
"sđt của cửa hàng sửa xe nằm ở đâu bác","số điện thoại của cửa hàng sửa xe nằm ở đâu bác"
"yt có video dạy tập dưỡng sinh hay lắm","YouTube có video dạy tập dưỡng sinh hay lắm"
"ytb của hội mình vừa đăng clip họp mặt","YouTube của hội mình vừa đăng clip họp mặt"
"cmt lịch sự để giữ uy tín cho hội nha","bình luận lịch sự để giữ uy tín cho hội nha"
"bl đừng có nặng lời với các cháu bác ạ","bình luận đừng có nặng lời với các cháu bác ạ"
"acc này tôi chỉ dùng để đọc báo thôi","tài khoản này tôi chỉ dùng để đọc báo thôi"
"bb nhà bác được mấy tháng rồi nhỉ","em bé nhà bác được mấy tháng rồi nhỉ"
"cmsn ông chúc ông bách niên giai lão","chúc mừng sinh nhật ông chúc ông bách niên giai lão"
"cmnm chúc anh chị làm ăn phát đạt","chúc mừng năm mới chúc anh chị làm ăn phát đạt"
"SK dạo này hay trái gió trở trời mệt quá","sức khỏe dạo này hay trái gió trở trời mệt quá"
"sk mừng thọ cụ cố diễn ra rất ấm cúng","sự kiện mừng thọ cụ cố diễn ra rất ấm cúng"
"BV huyện dạo này được đầu tư máy móc mới","bệnh viện huyện dạo này được đầu tư máy móc mới"
"bcs mua giúp tôi ít bông băng y tế nhé","bao cao su mua giúp tôi ít bông băng y tế nhé"
"hnay nhà bác có việc gì mà đông vui thế","hôm nay nhà bác có việc gì mà đông vui thế"
"hn tôi bận đi họp phụ huynh cho cháu rồi","hôm nay tôi bận đi họp phụ huynh cho cháu rồi"
"ksao đâu có người giúp là tốt rồi bác","không sao đâu có người giúp là tốt rồi bác"
"ks mình cứ làm việc thiện thì trời thương","không sao mình cứ làm việc thiện thì trời thương"
"qtrong là cái tình cái nghĩa láng giềng","quan trọng là cái tình cái nghĩa láng giềng"
"qtr gì ba cái chuyện danh lợi phù hoa","quan trọng gì ba cái chuyện danh lợi phù hoa"
"tgian trôi qua nhanh quá thoắt cái đã già","thời gian trôi qua nhanh quá thoắt cái đã già"
"tg này tôi thường đi chùa cầu an","thời gian này tôi thường đi chùa cầu an"
"qus khen cho tinh thần trách nhiệm của anh","quá khen cho tinh thần trách nhiệm của anh"
"wa bên tôi lấy ít trái cây sạch về ăn","quá bên tôi lấy ít trái cây sạch về ăn"
"bùn vì con cái đi làm xa ít khi về","buồn vì con cái đi làm xa ít khi về"
"khok làm gì cho mỏi mắt hả bà ơi","khóc làm gì cho mỏi mắt hả bà ơi"
"zui vầy bên con cháu là hạnh phúc nhất","vui vầy bên con cháu là hạnh phúc nhất"
"hqua tôi vừa đi kiểm tra định kỳ về","hôm qua tôi vừa đi kiểm tra định kỳ về"
"dr đúng là mảnh đất này của nhà tôi","đúng rồi đúng là mảnh đất này của nhà tôi"
"đr bác nói thế là tôi hiểu ý rồi","đúng rồi bác nói thế là tôi hiểu ý rồi"
"đroi mình cứ thống nhất phương án đó đi","đúng rồi mình cứ thống nhất phương án đó đi"
"đrui chuyện này tôi đã chứng kiến tận mắt","đúng rồi chuyện này tôi đã chứng kiến tận mắt"
"drui tôi cũng vừa mới nghe tin xong","đúng rồi tôi cũng vừa mới nghe tin xong"
"droi mai bác sang tôi mình bàn tiếp nhé","đúng rồi mai bác sang tôi mình bàn tiếp nhé"
"VD bác cần giúp gì thì cứ bảo tôi một tiếng","ví dụ bác cần giúp gì thì cứ bảo tôi một tiếng"
"vdu như trường hợp này thì nhà nước có hỗ trợ","ví dụ như trường hợp này thì nhà nước có hỗ trợ"
"ei bác đi bộ thể dục cùng tôi không","ê bác đi bộ thể dục cùng tôi không"
"ay anh cho tôi hỏi đường ra chợ huyện","ê anh cho tôi hỏi đường ra chợ huyện"
"hi chào buổi sáng chúc mọi người an lành","xin chào chào buổi sáng chúc mọi người an lành"
"lô các bác hội mình hôm nay đi đâu thế","xin chào các bác hội mình hôm nay đi đâu thế"
"alo có phải số của bác sĩ Hùng không ạ","xin chào có phải số của bác sĩ Hùng không ạ"
"pp nhé tôi về chuẩn bị bữa tối cho nhà","tạm biệt nhé tôi về chuẩn bị bữa tối cho nhà"
"bai nhé hẹn các bác vào buổi trà sáng mai","tạm biệt nhé hẹn các bác vào buổi trà sáng mai"
"bye cháu nhé nhớ lời bác dặn phải ngoan","tạm biệt cháu nhé nhớ lời bác dặn phải ngoan"
"nngon nhé mọi người tôi tắt đèn đi ngủ","ngủ ngon nhé mọi người tôi tắt đèn đi ngủ"
"nn nhé bà nó đắp chăn cho ấm vào","ngủ ngon nhé bà nó đắp chăn cho ấm vào"
"a em trong xóm phải biết đùm bọc nhau","anh em trong xóm phải biết đùm bọc nhau"
"ah nhà tôi làm giáo viên nên hiền lắm","anh nhà tôi làm giáo viên nên hiền lắm"
"ck tôi dạo này hay bị đau lưng lắm","chồng tôi dạo này hay bị đau lưng lắm"
"vk bác nấu món này ngon thật sự luôn","vợ bác nấu món này ngon thật sự luôn"
"cre thông tin này lấy từ báo chính thống","nguồn thông tin này lấy từ báo chính thống"
"ct là điều không ai mong muốn cả","chia tay là điều không ai mong muốn cả"
"ctay công ty cũ cũng thấy nhớ đồng nghiệp","chia tay công ty cũ cũng thấy nhớ đồng nghiệp"
"đk vậy thì tôi sẽ báo lại cho hội trưởng","đúng không vậy thì tôi sẽ báo lại cho hội trưởng"
"e xin chào các bác các cô trong hội","em xin chào các bác các cô trong hội"
"fact là người già thường hay khó ngủ","sự thật là người già thường hay khó ngủ"
"fake chứng minh thư là phạm pháp đấy cháu","giả mạo chứng minh thư là phạm pháp đấy cháu"
"flop quá bài thơ tôi đăng ko ai xem","mất tương tác quá bài thơ tôi đăng không ai xem"
"hh chuyện này nghe hài hước thật đấy","haha chuyện này nghe hài hước thật đấy"
"kkk các bác cứ đùa tôi mãi thế","cười các bác cứ đùa tôi mãi thế"
"kk thui mình tập trung vào chuyên môn đi","haha thôi mình tập trung vào chuyên môn đi"
"ib cho tôi xin cái báo giá vật liệu nhé","nhắn tin cho tôi xin cái báo giá vật liệu nhé"
"in4 của người này tôi chả biết là ai","thông tin của người này tôi chả biết là ai"
"k tôi không tán thành ý kiến này đâu","không tôi không tán thành ý kiến này đâu"
"ko có việc gì khó chỉ sợ lòng ko bền","không có việc gì khó chỉ sợ lòng không bền"
"kh có chuyện gì là không thể giải quyết","không có chuyện gì là không thể giải quyết"
"khum biết nhà bác có còn dư ít vôi ko","không biết nhà bác có còn dư ít vôi không"
"no tôi không uống được rượu đâu bác ạ","không tôi không uống được rượu đâu bác ạ"
"đéo tin được là thời buổi này vẫn thế","không tin được là thời buổi này vẫn thế"
"kr của tôi là nên trồng thêm cây ăn quả","ý kiến riêng của tôi là nên trồng thêm cây ăn quả"
"m sang mời bác Hùng sang nhà mình ăn cơm","mày sang mời bác Hùng sang nhà mình ăn cơm"
"t muốn mua ít con giống về chăn nuôi","tao muốn mua ít con giống về chăn nuôi"
"cno đi học cả ngày tối mới về nhà","chúng nó đi học cả ngày tối mới về nhà"
"mem mới vào sinh hoạt cùng hội người già","thành viên mới vào sinh hoạt cùng hội người già"
"mtr giúp tôi cái kềm hwa bác mượn nha","mong trả giúp tôi cái kềm hôm qua bác mượn nha"
"mxh giúp tôi tìm lại được người bạn cũ","mạng xã hội giúp tôi tìm lại được người bạn cũ"
"ngta lớn tuổi rồi mình phải kính trọng","người ta lớn tuổi rồi mình phải kính trọng"
"bả dạo này chân tay yếu hay run lắm","bạn ấy dạo này chân tay yếu hay run lắm"
"ổng là tấm gương sáng cho con cháu noi theo","ông ấy là người có uy tín nhất xóm mình là tấm gương sáng cho con cháu noi theo"
"ní ơi dạo này sức khỏe bác gái sao rồi","bạn ơi dạo này sức khỏe bác gái sao rồi"
"otp của hai đứa trẻ này nhìn đẹp đôi quá","ghép cặp của hai đứa trẻ này nhìn đẹp đôi quá"
"real hay giả mạo thì cứ phải kiểm tra lại","thật hay giả mạo thì cứ phải kiểm tra lại"
"s bác lại nóng nảy làm gì tổn thọ lắm","sao bác lại nóng nảy làm gì tổn thọ lắm"
"same quan điểm tôi cũng thấy làm vậy là đúng","giống quan điểm tôi cũng thấy làm vậy là đúng"
"scam bây giờ tinh vi lắm bà con cẩn thận","lừa gạt bây giờ tinh vi lắm bà con cẩn thận"
"slay thật sự tà áo dài của cô dâu","xuất sắc thật sự tà áo dài của cô dâu"
"stt của xã về việc làm căn cước đấy bác","trạng thái của xã về việc làm căn cước đấy bác"
"tag tôi vào bài viết để tôi còn theo dõi","gắn thẻ tôi vào bài viết để tôi còn theo dõi"
"tcn của bác nhìn chuyên nghiệp quá bác ơi","trang cá nhân của bác nhìn chuyên nghiệp quá bác ơi"
"tk ngân hàng để tôi chuyển tiền rau cho nhé","tài khoản ngân hàng để tôi chuyển tiền rau cho nhé"
"thg bé nhà bác học giỏi nhất làng mình","thằng bé nhà bác học giỏi nhất làng mình"
"thg đó hay giúp đỡ mọi người trong xóm","thằng đó hay giúp đỡ mọi người trong xóm"
"toxic quá thì tắt máy đi nghe đài thôi bác","tiêu cực quá thì tắt máy đi nghe đài thôi bác"
"tus này mang tính chất giáo dục cao đấy","bài viết này mang tính chất giáo dục cao đấy"
"up ảnh vườn rau lên cho mọi người cùng xem","lên ảnh vườn rau lên cho mọi người cùng xem"
"vv nha các cháu bác về nghỉ ngơi đây","vui vẻ nha các cháu bác về nghỉ ngơi đây"
"xh bây giờ lớp trẻ nó năng động quá","xu hướng bây giờ lớp trẻ nó năng động quá"
"bn nên giữ gìn sức khỏe lúc tuổi già nhé","bạn nên giữ gìn sức khỏe lúc tuổi già nhé"
"b cứ yên tâm tôi sẽ lo liệu việc này","bạn cứ yên tâm tôi sẽ lo liệu việc này"

