Câu gốc,Câu chuẩn hóa
"kb zalo r nha xíu gửi file cho t","kết bạn zalo rồi nha xíu gửi file cho tao"
"tks m nha áo này vừa in luôn","cảm ơn mày nha áo này vừa in luôn"
"sr nãy t bận lái xe ko rep đc","xin lỗi nãy tao bận lái xe không trả lời được"
"cv dạo này bận sml ko có lúc nào nghỉ","công việc dạo này bận sấp mặt không có lúc nào nghỉ"
"gđ m dạo này khỏe ko rảnh qua t chơi","gia đình mày dạo này khỏe không rảnh qua tao chơi"
"mìn thấy quán này đồ ăn cũng bthg","mình thấy quán này đồ ăn cũng bình thường"
"mik đi ngủ đây mai còn dậy sớm lmj nx","mình đi ngủ đây mai còn dậy sớm làm gì nữa"
"mk xin lỗi vì hwa đến trễ nha","mình xin lỗi vì hôm qua đến trễ nha"
"bh giá xăng lại tăng nữa rồi chán thật","bây giờ giá xăng lại tăng nữa rồi chán thật"
"bây h mình đi dạo công viên xíu ko b","bây giờ mình đi dạo công viên xíu không bạn"
"h m rảnh ko qua đèo t đi mua đồ","giờ mày rảnh không qua đèo tao đi mua đồ"
"ch ăn sáng nên giờ đói meo r","chưa ăn sáng nên giờ đói meo rồi"
"chx có kết quả thi hả m lo ghê","chưa có kết quả thi hả mày lo ghê"
"mh m mới tan ca để t qua đón","mấy giờ mày mới tan ca để tao qua đón"
"bt thế hwa t ko đi mưa cho rồi","biết thế hôm qua tao không đi mưa cho rồi"
"bít sao đc ngta lỡ lói z r","biết sao được người ta lỡ nói vậy rồi"
"bik vậy t mua hai ly trà sữa r","biết vậy tao mua hai ly trà sữa rồi"
"thik mẫu áo này ghê shop còn size ko","thích mẫu áo này ghê shop còn size không"
"bthg cuối tháng là túi t rỗng tuếch","bình thường cuối tháng là túi tao rỗng tuếch"
"bth thôi m đừng làm qá lên như v","bình thường thôi mày đừng làm quá lên như vậy"
"bình thg m thích uống trà đào hay trà chanh","bình thường mày thích uống trà đào hay trà chanh"
"đc nghỉ tết m có về quê ko t đi vs","được nghỉ tết mày có về quê không tao đi với"
"dc hôm nghỉ mà trời mưa buồn ghê","được hôm nghỉ mà trời mưa buồn ghê"
"vs tình hình này chắc t rớt môn r m ơi","với tình hình này chắc tao rớt môn rồi mày ơi"
"ừm m cứ để trên bàn cho t là đc","ừm mày cứ để trên bàn cho tao là được"
"uk t cũng thấy quán này thiết kế dth","ừ tao cũng thấy quán này thiết kế dễ thương"
"um nngon nha tớ cx đi ngủ đây","ừm ngủ ngon nha tớ cũng đi ngủ đây"
"acp kết bạn fb nha t mới add đó","đồng ý kết bạn fb nha tao mới add đó"
"r chừng nào m mới tính trả tiền t đây","rồi chừng nào mày mới tính trả tiền tao đây"
"j z m lại làm đổ nước ra sàn à","gì vậy mày lại làm đổ nước ra sàn à"
"giề mà m kêu toáng lên thế có vụ j a","gì mà mày kêu toáng lên thế có vụ gì a"
"trl thầy nhanh lên thầy đang gọi tên m kìa","trả lời thầy nhanh lên thầy đang gọi tên mày kìa"
"rep lẹ nha m đang cần gấp tài liệu này","trả lời lẹ nha mày đang cần gấp tài liệu này"
"off máy xíu đi m xem đth nhiều hư mắt đó","ngoại tuyến máy xíu đi mày xem điện thoại nhiều hư mắt đó"
"avt mới chụp ở đà lạt đẹp xuất sắc luôn","ảnh đại diện mới chụp ở đà lạt đẹp xuất sắc luôn"
"lmj có chuyện đó m nghe ai nói vậy","làm gì có chuyện đó mày nghe ai nói vậy"
"lm bài tập nhóm chx tối nay nộp r nha m","làm bài tập nhóm chưa tối nay nộp rồi nha mày"
"lms để giải câu toán này ae chỉ t vs","làm sao để giải câu toán này anh em chỉ tao với"
"ntn thì cnay nghỉ học đi cf đi ce","như thế nào thì chiều nay nghỉ học đi cf đi chị em"
"nnao cx ráng học cho qua môn nha ae","như nào cũng ráng học cho qua môn nha anh em"
"nnay thì làm sao mà t kịp chuyến bay","như này thì làm sao mà tao kịp chuyến bay"
"đtr z mà nết bả kì cục qá đi","đẹp trai vậy mà nết bạn ấy kì cục quá đi"
"đtrai qá shop ơi lấy cho t áo này nhé","đẹp trai quá shop ơi lấy cho tao áo này nhé"
"dz thế này m iu bả là phải rồi","đẹp trai thế này mày yêu bạn ấy là phải rồi"
"đzai lắm ae hqua t mới gặp ổng","đẹp trai lắm anh em hôm qua tao mới gặp ông ấy"
"đz ngời ngời thế kia bảo sao cno ko mê","đẹp trai ngời ngời thế kia bảo sao chúng nó không mê"
"depzai nhưng hơi vô duyên m ạ","đẹp trai nhưng hơi vô duyên mày ạ"
"iu cậu nhìu lém hwa đi chơi mệt ko","yêu cậu nhiều lắm hôm qua đi chơi mệt không"
"eo ôi con nhỏ đó nói xấu cj t kìa","yêu ôi con nhỏ đó nói xấu chị tao kìa"
"cr m đg onl kìa vào thả tim lẹ","người mình thích mày đang trực tuyến kìa vào thả tim lẹ"
"z tối nay mình ăn bún đậu mắm tôm nha","vậy tối nay mình ăn bún đậu mắm tôm nha"
"zạy là cuối tuần này ae mình rảnh đk","vậy là cuối tuần này anh em mình rảnh đúng không"
"v thôi t mua cái áo màu đen cho dễ phối","vậy thôi tao mua cái áo màu đen cho dễ phối"
"dậy thì mai m đi thi nhớ làm bài tốt nha","vậy thì mai mày đi thi nhớ làm bài tốt nha"
"dth dã man shop còn mẫu này màu hồng ko","dễ thương dã man shop còn mẫu này màu hồng không"
"dthuongg z m mua áo ở đâu chỉ t vs","dễ thương vậy mày mua áo ở đâu chỉ tao với"
"đth của m hãng gì mà chụp ảnh nét thế","điện thoại của mày hãng gì mà chụp ảnh nét thế"
"cj ơi lấy e hai ly trà vải nha","chị ơi lấy em hai ly trà vải nha"
"ae nhớ lịch tối nay ra sân bóng đá nha","anh em nhớ lịch tối nay ra sân bóng đá nha"
"típ đĩa cơm rang này nóng hổi ngon qá","tiếp đĩa cơm rang này nóng hổi ngon quá"
"nx đi thầy kể chuyện cuốn qá e nghe chx đã","nữa đi thầy kể chuyện cuốn quá em nghe chưa đã"
"th m đừng buồn nữa hnay t bao m đi ăn","thôi mày đừng buồn nữa hôm nay tao bao mày đi ăn"
"thui ko ns nữa t buồn ngủ qá m ơi","thôi không nói nữa tao buồn ngủ quá mày ơi"
"thoi kệ bả đi hơi đâu mà quan tâm","thôi kệ bạn ấy đi hơi đâu mà quan tâm"
"thoai e đi học đây muộn giờ rồi ck iu","thôi em đi học đây muộn giờ rồi chồng yêu"
"ce mik rủ nhau mua áo nhóm đi biển ko","chị em mình rủ nhau mua áo nhóm đi biển không"
"e mua đồ ăn sáng rồi cj cứ ngủ thêm xíu","em mua đồ ăn sáng rồi chị cứ ngủ thêm xíu"
"ace phòng mình tháng này ai có sinh nhật ko","anh chị em phòng mình tháng này ai có sinh nhật không"
"onl lẹ lên vô game ae đang chờ nè","trực tuyến lẹ lên vô game anh em đang chờ này"
"đag giặt đồ xíu phơi xong t nt lại nha","đang giặt đồ xíu phơi xong tao nhắn tin lại nha"
"đg chán qá hnay có phim gì hay ko m","đang chán quá hôm nay có phim gì hay không mày"
"dg mưa to qá t ko đi học đc r m ơi","đang mưa to quá tao không đi học được rồi mày ơi"
"ms dọn phòng xong mệt bở hơi tai ae ạ","mới dọn phòng xong mệt bở hơi tai anh em ạ"
"cx muốn mua túi mới mà dạo này nghèo qá","cũng muốn mua túi mới mà dạo này nghèo quá"
"cũg ko biết nói sao t thấy bả tội tội","cũng không biết nói sao tao thấy bạn ấy tội tội"
"lói thật là t đang rất đói bụng ae ạ","nói thật là tao đang rất đói bụng anh em ạ"
"ns vậy làm ngta buồn đấy m ơi","nói vậy làm người ta buồn đấy mày ơi"
"ổng said thích bả từ lâu rồi kìa","ông ấy nói thích bạn ấy từ lâu rồi kìa"
"unf tk đó đi m ơi phiền phức qá","hủy kết bạn thằng đó đi mày ơi phiền phức quá"
"FB nay bị lỗi hay sao ko tải đc ảnh","Facebook nay bị lỗi hay sao không tải được ảnh"
"ig của m là gì để t vào follow","Instagram của mày là gì để tao vào follow"
"tt dạo này nhiều clip nấu ăn hay ghê","Tiktok dạo này nhiều clip nấu ăn hay ghê"
"xl hnay có tính năng mới hả mn","Zalo hôm nay có tính năng mới hả mọi người"
"dép lào nt mà ko thấy bả rep gì cả","Zalo nhắn tin mà không thấy bạn ấy trả lời gì cả"
"mess gọi video nay bị lag qá t tắt nha","Messenger gọi video nay bị lag quá tao tắt nha"
"fl shop này đi hay có đồ xinh lém","theo dõi shop này đi hay có đồ xinh lắm"
"sđt của cậu t lưu vào máy rồi nhé","số điện thoại của cậu tao lưu vào máy rồi nhé"
"yt nay hay gợi ý mấy bài nhạc chill ghê","YouTube nay hay gợi ý mấy bài nhạc chill ghê"
"ytb dạo này chèn nhiều qc qá xem bực mình","YouTube dạo này chèn nhiều qc quá xem bực mình"
"cmt khen ổng một tiếng cho ổng vui đi m","bình luận khen ông ấy một tiếng cho ông ấy vui đi mày"
"bl sao cho ngầu hở ae chỉ t vs","bình luận sao cho ngầu hở anh em chỉ tao với"
"acc này t lập từ hồi cấp ba r","tài khoản này tao lập từ hồi cấp ba rồi"
"bb nay đi học mầm non khóc qá chừng","em bé nay đi học mầm non khóc quá chừng"
"cmsn người yêu bé nhỏ của a nha","chúc mừng sinh nhật người yêu bé nhỏ của anh nha"
"cmnm chúc gđ m luôn hạnh phúc nha","chúc mừng năm mới chúc gia đình mày luôn hạnh phúc nha"
"SK dạo này ko tốt hay đau lưng qá","sức khỏe dạo này không tốt hay đau lưng quá"
"sk tối nay t bận r ko tham gia đc","sự kiện tối nay tao bận rồi không tham gia được"
"BV bữa nay làm thủ tục lẹ lắm nha","bệnh viện bữa nay làm thủ tục lẹ lắm nha"
"bcs hết r nay m đi mua thêm đi","bao cao su hết rồi nay mày đi mua thêm đi"
"hnay kẹt xe kinh khủng m ơi","hôm nay kẹt xe kinh khủng mày ơi"
"hn t đi ăn lẩu thái vs ce công ty","hôm nay tao đi ăn lẩu thái với chị em công ty"
"ksao rớt môn này thì học lại môn khác","không sao rớt môn này thì học lại môn khác"
"ks m cứ bình tĩnh giải quyết là đc","không sao mày cứ bình tĩnh giải quyết là được"
"qtrong là m phải tin vào bản thân m","quan trọng là mày phải tin vào bản thân mày"
"qtr gì ba cái lời dèm pha của cđm","quan trọng gì ba cái lời dèm pha của cộng đồng mạng"
"tgian trôi nhanh như chó chạy ngoài đồng","thời gian trôi nhanh như chó chạy ngoài đồng"
"tg t rảnh thì t hay đi xem phim","thời gian tao rảnh thì tao hay đi xem phim"
"qus khen cho đội của m hnay nha","quá khen cho đội của mày hôm nay nha"
"wa hay luôn bài hát này chạm đến trái tim t","quá hay luôn bài hát này chạm đến trái tim tao"
"bùn ngủ ríu cả mắt r thôi t ngủ nha","buồn ngủ ríu cả mắt rồi thôi tao ngủ nha"
"khok ướt gối hwa r hnay mắt sưng húp","khóc ướt gối hôm qua rồi hôm nay mắt sưng húp"
"zui lên đi thi rớt đợt này thi đợt sau","vui lên đi thi rớt đợt này thi đợt sau"
"hqua ăn hải sản r hnay mình ăn thịt nướng nha","hôm qua ăn hải sản rồi hôm nay mình ăn thịt nướng nha"
"dr đúng là cái váy đó của shop t mua r","đúng rồi đúng là cái váy đó của shop tao mua rồi"
"đr ý t cũng giống như ý của m đó","đúng rồi ý tao cũng giống như ý của mày đó"
"đroi mình chia tiền chẵn z nha ae","đúng rồi mình chia tiền chẵn vậy nha anh em"
"đrui chốt đơn tối nay ăn ốc nhé","đúng rồi chốt đơn tối nay ăn ốc nhé"
"drui hôm trc t cũng thấy ổng ở đó","đúng rồi hôm trước tao cũng thấy ông ấy ở đó"
"droi cbi đồ đi 15 phút nữa t tới","đúng rồi chuẩn bị đồ đi 15 phút nữa tao tới"
"VD m đang rảnh thì qua chở t về vs","ví dụ mày đang rảnh thì qua chở tao về với"
"vdu câu toán này giải sao t nghĩ mãi ko ra","ví dụ câu toán này giải sao tao nghĩ mãi không ra"
"ei tối nay có đá bóng ae ra sân ko","ê tối nay có đá bóng anh em ra sân không"
"ay đi mua đồ ăn sáng vs t lẹ lên","ê đi mua đồ ăn sáng với tao lẹ lên"
"hi mng t mới chuyển đến khu này","xin chào mọi người tao mới chuyển đến khu này"
"lô các ae đồng râm đg lmj đó","xin chào các anh em đồng râm đang làm gì đó"
"alo có nghe rõ mìn nói j ko","xin chào có nghe rõ mình nói gì không"
"pp t vào lớp học r ko nt đc nữa","tạm biệt tao vào lớp học rồi không nhắn tin được nữa"
"bai m nha đi đường cẩn thận","tạm biệt mày nha đi đường cẩn thận"
"bye cj iu mai mìn đi cf tiếp nha","tạm biệt chị yêu mai mình đi cf tiếp nha"
"nngon mai có sức đi quẩy tiếp ae nha","ngủ ngon mai có sức đi quẩy tiếp anh em nha"
"nn cưng nha đắp chăn ấm zô","ngủ ngon cưng nha đắp chăn ấm vô"
"a qua rước e liền chờ a 5p nha","anh qua rước em liền chờ anh 5p nha"
"ah đi lính tháng sau là đc về thăm nhà r","anh đi lính tháng sau là được về thăm nhà rồi"
"ck t nay đc thăng chức t bao ae đi ăn","chồng tao nay được thăng chức tao bao anh em đi ăn"
"vk e làm bánh ngon nhức nách lun á m","vợ em làm bánh ngon nhức nách luôn á mày"
"cre nhạc xịn qá xin link vs b ơi","nguồn nhạc xịn quá xin link với bạn ơi"
"ct r buồn qá nhưng t phải mạnh mẽ lên","chia tay rồi buồn quá nhưng tao phải mạnh mẽ lên"
"ctay ko khóc nha m cno cười cho đó","chia tay không khóc nha mày chúng nó cười cho đó"
"đk xe này chạy êm ru t tính mua một chiếc","đúng không xe này chạy êm ru tao tính mua một chiếc"
"e nấu cơm r cj về là ăn thôi nha","em nấu cơm rồi chị về là ăn thôi nha"
"fact con gái cứ khen gầy là auto thích","sự thật con gái cứ khen gầy là auto thích"
"fake 100% t nhìn cái mác là biết liền","giả mạo 100% tao nhìn cái mác là biết liền"
"flop qá t tính xóa luôn tus này","mất tương tác quá tao tính xóa luôn bài viết này"
"hh con cún nhà m tấu hài ghê á","haha con cún nhà mày tấu hài ghê á"
"kkk m nhát gan qá chuột có gì đâu mà sợ","cười mày nhát gan quá chuột có gì đâu mà sợ"
"kk thui t xin lỗi đg trêu xíu th","haha thôi tao xin lỗi đang trêu xíu thôi"
"ib vùng kín m ơi chuyện này tế nhị lém","nhắn tin vùng kín mày ơi chuyện này tế nhị lắm"
"in4 quán cf này nằm ở góc đường nào b","thông tin quán cf này nằm ở góc đường nào bạn"
"k thik ăn cay nên nấu nhạt nhạt dùm t","không thích ăn cay nên nấu nhạt nhạt dùm tao"
"ko ai tắm hai lần trên một dòng sông đâu m","không ai tắm hai lần trên một dòng sông đâu mày"
"kh có chuyện đó đâu ngta đồn bậy bạ đó","không có chuyện đó đâu người ta đồn bậy bạ đó"
"khum uông bia đc t uống nước ngọt nha ae","không uống bia được tao uống nước ngọt nha anh em"
"no t mập lém r ko ăn đêm nữa đâu","không tao mập lắm rồi không ăn đêm nữa đâu"
"đéo tin nổi là bả lại lmj như z luôn á","không tin nổi là bạn ấy lại làm gì như vậy luôn á"
"kr thì t thấy áo màu xanh hợp vs m hơn","ý kiến riêng thì tao thấy áo màu xanh hợp với mày hơn"
"m sang nhà t lấy tài liệu về học ôn nha","mày sang nhà tao lấy tài liệu về học ôn nha"
"t thích trời mưa để đc ngủ nướng cho sướng","tao thích trời mưa để được ngủ nướng cho sướng"
"cno đi đà lạt chơi mà ko rủ hội mìn buồn thê","chúng nó đi đà lạt chơi mà không rủ hội mình buồn thế"
"mem ms này nhảy đẹp qá cj ơi t thu nhận lun nha","thành viên mới này nhảy đẹp quá chị ơi tao thu nhận luôn nha"
"mtr cái ảnh hwa m dìm t nha chờ đó","mong trả cái ảnh hôm qua mày dìm tao nha chờ đó"
"mxh là con dao hai lưỡi cẩn thận lời lói nha m","mạng xã hội là con dao hai lưỡi cẩn thận lời nói nha mày"
"ngta đang vội nhường đường xíu đi ae","người ta đang vội nhường đường xíu đi anh em"
"bả giỏi ngoại ngữ lém m nhờ bả dịch dùm đi","bạn ấy giỏi ngoại ngữ lắm mày nhờ bạn ấy dịch dùm đi"
"ổng hút thuốc lá nhiều h ho sù sụ luôn r","ông ấy hút thuốc lá nhiều giờ ho sù sụ luôn rồi"
"ní đg ở đâu z rảnh chạy ra cf dạo lẹ","bạn đang ở đâu vậy rảnh chạy ra cf dạo lẹ"
"otp của m nay tung hint rõ qá tr lun","ghép cặp của mày nay tung hint rõ quá trời luôn"
"real hay ko thì chờ tgian trả lời nha m","thật hay không thì chờ thời gian trả lời nha mày"
"s dạo này m ít onl z bận ôn thi hả","sao dạo này mày ít trực tuyến vậy bận ôn thi hả"
"same ae mik có gu âm nhạc giống hệt nhau lun","giống anh em mình có gu âm nhạc giống hệt nhau luôn"
"scam đầy rẫy mxh ae cẩn thận ví tiền nha","lừa gạt đầy rẫy mạng xã hội anh em cẩn thận ví tiền nha"
"slay qá body bả mlem mlem ghê á ae","xuất sắc quá body bạn ấy mlem mlem ghê á anh em"
"stt xàm xí z mà cx đc chục nghìn like","trạng thái xàm xí vậy mà cũng được chục nghìn like"
"tag tk bn thân vào coi clip này lẹ m","gắn thẻ thằng bạn thân vào coi clip này lẹ mày"
"tcn của m nhìn trống trải qá up ảnh thêm zô","trang cá nhân của mày nhìn trống trải quá lên ảnh thêm vô"
"tk em nhà t ngoan lém học giỏi nữa","thằng em nhà tao ngoan lắm học giỏi nữa"
"thg lười biếng kia dậy đg dọn dẹp nhà cửa lẹ","thằng lười biếng kia dậy đang dọn dẹp nhà cửa lẹ"
"toxic qá t chặn sđt tk đó r m ơi","tiêu cực quá tao chặn số điện thoại thằng đó rồi mày ơi"
"tus này buồn qá chạm đúng tim đen của t r","bài viết này buồn quá chạm đúng tim đen của tao rồi"
"up hình nay đẹp thế này chắc bn cs nhiều người theo","up hình nay đẹp thế này chắc bạn có nhiều người theo"
"vv nha cả nhà e đi du lịch biển đây","vui vẻ nha cả nhà em đi du lịch biển đây"
"xh dạo này toàn nhạc trung quốc ko ha m","xu hướng dạo này toàn nhạc trung quốc không ha mày"
"bn đg làm gì đó rảnh call t xíu nc","bạn đang làm gì đó rảnh call tao xíu nói chuyện"
"b nay có đi học ko cho t mượn vở ghi","bạn nay có đi học không cho tao mượn vở ghi"
"bro hnay lên đồ slay wá đi dạo phố đk","bạn hôm nay lên đồ xuất sắc quá đi dạo phố đúng không"
"mìn mua bánh r xíu qua đón b đi nha","mình mua bánh rồi xíu qua đón bạn đi nha"
"mik thấy bộ phim hqua bình thg ko hay lắm","mình thấy bộ phim hôm qua bình thường không hay lắm"
"mk ms ngủ dậy đg cbi đi làm nè","mình mới ngủ dậy đang chuẩn bị đi làm này"
"bh t kẹt xe qá chắc 10 phút nữa ms tới","bây giờ tao kẹt xe quá chắc 10 phút nữa mới tới"
"bây h m đg ở đâu t chạy qua đón liền","bây giờ mày đang ở đâu tao chạy qua đón liền"
"h này còn chx ngủ lướt tt lmj đó","giờ này còn chưa ngủ lướt Tiktok làm gì đó"
"ch nộp bài ráng làm nốt cho xong ae ạ","chưa nộp bài ráng làm nốt cho xong anh em ạ"
"chx ăn sáng đói meo r m ơi bụng kêu qá","chưa ăn sáng đói meo rồi mày ơi bụng kêu quá"
"mh xe chạy m nhớ coi chừng trễ nha tr","mấy giờ xe chạy mày nhớ coi chừng trễ nha trời"
"bt rớt môn r t bùn thúi ruột lun nè","biết rớt môn rồi tao buồn thúi ruột luôn này"
"bít ngay m xạo mà đéo tin đc cái mỏ m","biết ngay mày xạo mà không tin được cái mỏ mày"
"bik đường ko t gửi định vị cho qa nè ae","biết đường không tao gửi định vị cho qua này anh em"
"thik ăn gì cnay t bao m nha lâu ko gặp","thích ăn gì chiều nay tao bao mày nha lâu không gặp"
"bthg t toàn đi xe buýt chứ ko tự lái xe","bình thường tao toàn đi xe buýt chứ không tự lái xe"
"bth nay nhà t nấu bún bò ngon qtqd","bình thường nay nhà tao nấu bún bò ngon quá trời quá đất"
"bình thg cuối tuần t đg ngủ nướng chx dậy đâu","bình thường cuối tuần tao đang ngủ nướng chưa dậy đâu"
"đc sếp khen hnay tui zui như trúng số luôn","được sếp khen hôm nay tui vui như trúng số luôn"
"dc bn mua cho ly trà đào ngon wa m","được bạn mua cho ly trà đào ngon quá mày"
"vs t m luôn là đứa bn thân nhất lớp","với tao mày luôn là đứa bạn thân nhất lớp"
"ừm chốt z nha cnay ae mik gặp mặt nha","ừm chốt vậy nha chiều nay anh em mình gặp mặt nha"
"uk nay trời mưa lười ra khỏi nhà lém b","ừ nay trời mưa lười ra khỏi nhà lắm bạn"
"um bả đg học bài t ko dám gọi đth ồn","ừm bạn ấy đang học bài tao không dám gọi điện thoại ồn"
"acp fb t đi m ms gửi lời kb đó r","đồng ý fb tao đi mày mới gửi lời kết bạn đó rồi"
"r tính sao hnay ai trả tiền bữa nhậu ae","rồi tính sao hôm nay ai trả tiền bữa nhậu anh em"
"j ms sáng ra đg yên ổn mà ồn z cno","gì mới sáng ra đang yên ổn mà ồn vậy chúng nó"
"giề m lói t lùn hả t giận m lun giờ","gì mày nói tao lùn hả tao giận mày luôn giờ"
"trl ib lẹ t nhờ cái này xíu cho nhanh","trả lời nhắn tin lẹ tao nhờ cái này xíu cho nhanh"
"rep tn t đi gửi hwa mà chx seen nx m","trả lời tin nhắn tao đi gửi hôm qua mà chưa seen nữa mày"
"off ròi hả s đg nt lại biến mất z b","ngoại tuyến rồi hả sao đang nhắn tin lại biến mất vậy bạn"
"avt mới đzai qá ngta rụng trứng hết kìa a","ảnh đại diện mới đẹp trai quá người ta rụng trứng hết kìa anh"
"lmj có vụ đó cno đồn xạo m ơi t cá lun","làm gì có vụ đó chúng nó đồn xạo mày ơi tao cá luôn"
"lm bài tốt ko t sai mấy câu trắc nghiệm r","làm bài tốt không tao sai mấy câu trắc nghiệm rồi"
"lms xin nghỉ ốm hnay đc cj lói e bít vs","làm sao xin nghỉ ốm hôm nay được chị nói em biết với"
"ntn r công việc của a dạo này ổn thỏa chx","như thế nào rồi công việc của anh dạo này ổn thỏa chưa"
"nnao giải qyết đc m lói thẳng lun đi ae","như nào giải quyết được mày nói thẳng luôn đi anh em"
"nnay t cug ko cứu m đc nha tk kia sạo qá","như này tao cũng không cứu mày được nha thằng kia sạo quá"
"đtr mà hay lừa tình ae cẩn thận mxh này nha","đẹp trai mà hay lừa tình anh em cẩn thận mạng xã hội này nha"
"đtrai s bằg nyc t đc đk ae mìn nhận xét","đẹp trai sao bằng người yêu cũ tao được đúng không anh em mình nhận xét"
"dz quá mức cho phép e xin gục ngã cj ơii","đẹp trai quá mức cho phép em xin gục ngã chị ơii"
"đzai thì thích thật nma ổng có ny r m ạ","đẹp trai thì thích thật nhưng mà ông ấy có người yêu rồi mày ạ"
"đz mà học dốt t cũng ko mún lmj để quen","đẹp trai mà học dốt tao cũng không muốn làm gì để quen"
"depzai v t đổ ổng cái rầm luôn m bít ko","đẹp trai vậy tao đổ ông ấy cái rầm luôn mày biết không"
"iu m nhất đời cnay đi cf t bao chầu nước","yêu mày nhất đời chiều nay đi cf tao bao chầu nước"
"eo ôi cái đầm này dth xỉu ngang mua ở đâu z","yêu ôi cái đầm này dễ thương xỉu ngang mua ở đâu vậy"
"cr nay đi lướt ngang t m ơi tim đập bịch bịch","người mình thích nay đi lướt ngang tao mày ơi tim đập bịch bịch"
"z hnay t ko nấu cơm đâu m mua đồ nha ck","vậy hôm nay tao không nấu cơm đâu mày mua đồ nha chồng"
"zạy thì chốt lịch sáng mai 8h ae tới qán","vậy thì chốt lịch sáng mai 8h anh em tới quán"
"v thui e ko qua nhà a nx mệt qá t muốn ngủ","vậy thôi em không qua nhà anh nữa mệt quá tao muốn ngủ"
"dậy r chừng nào mính đi du lịch chung nx bả","vậy rồi chừng nào mình đi du lịch chung nữa bạn ấy"
"dth thì có dth đó nma hơi chảnh t ko qen","dễ thương thì có dễ thương đó nhưng mà hơi chảnh tao không quen"
"dthuongg v bé bi m ms mua hả m bao tiền z","dễ thương vậy bé bi mày mới mua hả mày bao tiền vậy"
"đth t sạc ko zô chắc phải đi bảo hành r ae","điện thoại tao sạc không vô chắc phải đi bảo hành rồi anh em"
"cj e nhà m giống nhau y chang t nhìn nhầm xíu","chị em nhà mày giống nhau y chang tao nhìn nhầm xíu"
"ae mik tối rảnh lmj ko làm ván game đi t mời","anh em mình tối rảnh làm gì không làm ván game đi tao mời"
"típ nx ổng lói nghe cuốn qá z t hóng nãy h","tiếp nữa ông ấy nói nghe cuốn quá vậy tao hóng nãy giờ"
"nx thui m đg lmj z ăn cơm chx bụng đói r","nữa thôi mày đang làm gì vậy ăn cơm chưa bụng đói rồi"
"th kệ cno đi m bận tâm lmj ba cái lời đồn","thôi kệ chúng nó đi mày bận tâm làm gì ba cái lời đồn"
"thui tớ về phòng cbi đồ tối t ghé m nha","thôi tớ về phòng chuẩn bị đồ tối tao ghé mày nha"
"thoi ko sao chuyện cũ r bỏ qua nha ae mik","thôi không sao chuyện cũ rồi bỏ qua nha anh em mình"
"thoai lói z bả buồn đó ae rén mồm lẹ ko mệt","thôi nói vậy bạn ấy buồn đó anh em rén mồm lẹ không mệt"
"ce công ty m dạo này ai cũng lên đồ slay qá","chị em công ty mày dạo này ai cũng lên đồ xuất sắc quá"
"e thích uống trà đào hnay a dẫn e đi mua nha","em thích uống trà đào hôm nay anh dẫn em đi mua nha"
"ace mxh hnay hóng đc tin j chx z kể t vs","anh chị em mạng xã hội hôm nay hóng được tin gì chưa vậy kể tao với"
"onl lướt FB xíu r cbi đi ngủ sáng mai làm sớm","trực tuyến lướt Facebook xíu rồi chuẩn bị đi ngủ sáng mai làm sớm"
"đag ở phòng trọ chán qtqd ai đi ăn lẩu ko","đang ở phòng trọ chán quá trời quá đất ai đi ăn lẩu không"
"đg bận sml sếp bắt làm báo cáo nè m ơi","đang bận sấp mặt sếp bắt làm báo cáo này mày ơi"
"dg tính đi tắm thì đth kêu m qua đón t đk","đang tính đi tắm thì điện thoại kêu mày qua đón tao đúng không"
"ms lmj đó ngta thấy m đi vs tk kia nha nha","mới làm gì đó người ta thấy mày đi với thằng kia nha nha"
"cx may là hwa t kịp trú mưa ko thì ốm liệt","cũng may là hôm qua tao kịp trú mưa không thì ốm liệt"
"cũg đg rảnh ko lmj cnay qa m chơi đc ko bn","cũng đang rảnh không làm gì chiều nay qua mày chơi được không bạn"
"lói sạo m đéo tin đc lòi đuôi r tk kia im đi","nói sạo mày không tin được lòi đuôi rồi thằng kia im đi"
"ns chứ m mặc bộ này hợp lém dth qá t chấm","nói chứ mày mặc bộ này hợp lắm dễ thương quá tao chấm"
"said lời iu r mà bả đéo rep t ae ạ s bùn qá","nói lời yêu rồi mà bạn ấy không trả lời tao anh em ạ sao buồn quá"
"unf ổng r mệt mỏi ba cái chuyện linh tinh ae","hủy kết bạn ông ấy rồi mệt mỏi ba cái chuyện linh tinh anh em"
"FB s nay ko lướt video đc hở ce mạng lỏ r","Facebook sao nay không lướt video được hở chị em mạng lỏ rồi"
"ig t để chế độ riêng tư r ae khỏi kiếm mất công","Instagram tao để chế độ riêng tư rồi anh em khỏi kiếm mất công"
"tt hwa có clip tk đó hát hay ghê m xem chx","Tiktok hôm qua có clip thằng đó hát hay ghê mày xem chưa"
"xl m t chặn r ko nt đc nx phiền m quá nha","Zalo mày tao chặn rồi không nhắn tin được nữa phiền mày quá nha"
"dép lào nay ai đổi avt đôi vs m đó khai lẹ ra","Zalo nay ai đổi ảnh đại diện đôi với mày đó khai lẹ ra"
"mess t đg lỗi tin nhắn ko load đc b ơi thông cảm","Messenger tao đang lỗi tin nhắn không load được bạn ơi thông cảm"
"fl kênh ytb này đi chuyên rì viu đồ ăn m ơi đỉnh","theo dõi kênh YouTube này đi chuyên review đồ ăn mày ơi đỉnh"
